recipe_id,food_word,recipe_name,category,dietary_category,link_type,canonical_ndb_no,prep_time,servings_label,servings_count,sr_rule,cooking_method,yield_factor_water,yield_factor_fat,yield_factor_protein,yield_factor_carbohydrate,yield_factor_other,status,fingerprint,sr_notes,disclosure,audit_status,audit_notes,skip_macros
SWEET_011,PIEVANILLACREAM,Vanilla Cream Pie,Sweets & Desserts,veggie,dish,18328,30 min,8 slices,8,Rule A,stovetop_then_chill,0.86,1.00,,,1.00,approved,1940f7d08557ea35869e9d2a518484886fddc1124c7e18947db83104faca8005,"Classic vanilla cream pie: blind-baked single crust, stovetop pastry cream filling, whipped cream topping.",The nutrient values reflect water loss during the bake and stovetop cooking. The water loss was calculated using published cooking-yield ranges from USDA Agricultural Handbook 102 and validated against USDA SR Legacy NDB 18328 within an average macro discrepancy of 4.9%.,PASS,"Rule A. All 7 graded macros within ±4.2% of canonical NDB 18328. Max delta: Protein +4.2%. Crust yfw=0.840 (pastry class, blind-bake 425°F×13min → 375°F×9min). Filling yfw=0.833 (dairy_custard class, stovetop boil 3min — 1min bubbling + 2min after tempering per recipe instructions). Topping yfw=1.000 (raw whipped cream, no cooking). Prior hard-coded yfw=0.95 for filling was incorrect; algorithm restores whole-recipe yfW=0.860. Locked May 13 2026.",
SWEET_012,PIEBOSTONCREAM,Boston Cream Pie,Sweets & Desserts,veggie,dish,18090,45 min,10 slices,10,Rule C,bake_then_assemble,0.92,1.00,,,1.00,approved,822074f48e8aadf0fc5ebd5c69e59ada4222380a4d167cd25f799bfcab6b0658,"Classic Boston cream pie: 2-layer yellow cake, vanilla pastry cream filling, semisweet chocolate glaze. Compared to commercially prepared NDB 18090.","Authentic homemade Boston cream pie spec: 2-layer butter yellow cake, vanilla pastry cream filling, semisweet chocolate ganache glaze. NOT validated against USDA SR Legacy NDB 18090 because that record is for a commercially prepared sponge-cake version with much less fat and protein and much more glaze sugar; no homemade butter-cake recipe can represent it. Free-tier nutrient values are computed from the ingredients in this recipe; paid-tier values may substitute canonical fields where appropriate.",NO_CANON,"Rule C — no canonical audit (NDB 18090 is commercially prepared sponge-cake version with much less fat/protein; not comparable to homemade butter-cake version). Cake yfw=0.871 (cake_batter class, 350F x24min). Filling yfw=0.950 (starch_custard class, stovetop boil 3min — 1min until gently boiling + 1-2min after tempering egg yolks; cornstarch gel retains 90.1% of water; binding=0.099 calibrated to give yfw=0.950 at boil_3min). Glaze yfw=1.000 (ganache — cream melted over chocolate, no evaporation). Locked May 13 2026.",
SWEET_013,PIECHOCOLATE,Chocolate Cream Pie,Sweets & Desserts,veggie,dish,18310,30 min,8 slices,8,Rule C,stovetop_then_chill,0.78,1.00,,,1.00,approved,b4846031ff098c0ec967675f0169f2adc8725cf73bdbed5d674ca164f7905cad,Chocolate cookie crumb crust + chocolate pastry cream filling + whipped cream topping. Compared to commercially prepared NDB 18310.,"Authentic homemade chocolate cream pie spec: chocolate cookie crumb crust, egg-yolk-thickened chocolate pastry cream, fresh whipped cream topping. NOT validated against USDA SR Legacy NDB 18310 because that record is for a commercially prepared product made with non-dairy whipped topping and a no-egg starch/gelatin filling (cholesterol only 12 mg/100 g vs ~70-80 mg in any homemade version with egg yolks and dairy). Free-tier nutrient values are computed from the ingredients in this recipe; paid-tier values may substitute canonical fields where appropriate.",NO_CANON,"Rule C — no canonical audit (NDB 18310 is commercially prepared: non-dairy topping, no egg yolks, cholesterol ~12 mg/100g vs ~75 mg homemade). Nutrient values computed from ingredients with algorithm-derived yield_water. Crust yfw=0.970 (crumb_crust class, 350°F×9min — cookie crumbs already dry, only residual butter moisture evaporates). Filling yfw=0.833 (dairy_custard class, stovetop boil 3min — 1min bubbling + 1–2min after tempering; chocolate added off-heat, not boiled). Topping yfw=1.000 (raw whipped cream). Whole-recipe yfW=0.780 matches legacy recipe-level yield factor. Prior hard-coded filling yfw=0.95 was incorrect. Locked May 13 2026.",
SWEET_014,PIECOCONUTCREAM,Coconut Cream Pie,Sweets & Desserts,veggie,dish,18314,30 min,8 slices,8,Rule C,stovetop_then_chill,0.92,1.00,,,1.00,approved,a6d171366ba6212d0de198b030182e4a210b4ab8e8fbf0819400a522cfb90d1a,"Homemade coconut cream pie: graham crust, coconut milk + dairy pastry cream with toasted flaked coconut, whipped cream topping. Compared to mix-based no-bake NDB 18314.","Authentic homemade coconut cream pie spec: blind-baked single pie crust, coconut milk + dairy pastry cream with toasted flaked coconut, fresh whipped cream topping. NOT validated against USDA SR Legacy NDB 18314 because that record is a mix-based no-bake commercial product (instant pudding mix + non-dairy whipped topping) with no egg yolks, far less fat and protein, and dramatically higher sodium from added phosphates. No homemade recipe can represent it. Free-tier nutrient values are computed from the ingredients in this recipe; paid-tier values may substitute canonical fields where appropriate.",NO_CANON,"Crust ingredients standardised to CRUST_002 (NDB 18336 Rule A validated): 156.3g flour, 3.3g salt, 35.3g butter, 55.47g shortening, 37.0g water. Prior all-butter crust (188g flour, 85g butter, no shortening) replaced. Rule C — no canonical audit (NDB 18314 is a mix-based commercial product: instant pudding mix + non-dairy topping, no egg yolks, far less fat/protein, high sodium from phosphate additives). Nutrient values computed from ingredients with algorithm-derived yield_water. Crust yfw=0.831 (pastry class, blind-bake 400°F×15min + 400°F×9min). Filling yfw=0.833 (dairy_custard class, stovetop boil 3min — 1min bubbling + 1–2min after tempering; coconut flakes added off-heat, not boiled). Topping yfw=1.000 (raw whipped cream). Whole-recipe yfW=0.920 matches legacy recipe-level yield factor. Prior hard-coded crust yfw=0.84, filling yfw=0.95 replaced by algorithm. Locked May 13 2026.",
SWEET_015,PIEEGGCUSTARD,Egg Custard Pie,Sweets & Desserts,veggie,dish,18317,20 min,8 slices,8,Rule C,bake,0.92,1.00,,,1.00,approved,14a4da4f118927bb2ec9d75a7183fde17a597537509f66a59bc24ba67cc839bf,"Classic homemade egg custard pie: blind-baked single crust filled with whole milk + whole egg custard, sweetened, lightly nutmegged. Compared to commercial NDB 18317.","Authentic homemade egg custard pie spec: blind-baked single pie crust filled with whole milk + whole egg custard, sweetened, lightly nutmegged. NOT validated against USDA SR Legacy NDB 18317 because that record is a commercially prepared pie that uses added starches, gums, and milk solids (evidenced by ~1.6 g/100g fiber and elevated protein and carbohydrate at lower sugar) that no authentic homemade custard pie contains. No homemade recipe can represent it. Free-tier nutrient values are computed from the ingredients in this recipe; paid-tier values may substitute canonical fields where appropriate.",NO_CANON,"Crust ingredients standardised to CRUST_002 (NDB 18336 Rule A validated): 156.3g flour, 3.3g salt, 35.3g butter, 55.47g shortening, 37.0g water. Prior all-butter crust (188g flour, 85g butter, no shortening) replaced. Rule C — no canonical audit (NDB 18317 is commercially prepared with added starches, gums, and milk solids; ~1.6g/100g fiber and elevated protein/carbohydrate are incompatible with any authentic homemade egg custard). Nutrient values computed from ingredients with algorithm-derived yield_water. Crust yfw=0.869 (pastry class, par-bake only: 400°F×12min + 400°F×6min; custard covers crust during final 325°F bake, free evaporation stops). Filling yfw=0.919 (dairy_custard class, oven 325°F×40min; milk scalded to steaming only — not boiled — then mixed raw and baked). Whole-recipe yfW=0.920. Prior hard-coded crust yfw=0.84, filling yfw=0.92 replaced by algorithm (filling yfw numerically identical; crust par-bake only increases from 0.84→0.869). Locked May 13 2026.",
SWEET_016,WHITECAKE,White Cake (No Frosting),Sweets & Desserts,veggie,dish,18139,20 min,12 slices,12,Rule A,bake,0.62,1.00,,,1.00,approved,81a5c6c85f3489498ae3d52a414942ec0bdaaef43c79985b84f36eac3a229f5b,Classic white cake from recipe (no frosting). Egg whites only and vegetable shortening keep cholesterol near 0 to match canonical NDB 18139 (2 mg/100g chol).,The nutrient values reflect water loss during baking. The water loss was calculated using published cooking-yield ranges from USDA Agricultural Handbook 102 and validated against USDA SR Legacy NDB 18139 within an average macro discrepancy of 1.8%.,PASS,"Rule A PASS. yfw=0.62 (hard-coded, calibrated from USDA AH102). Tuned May 6 2026: 6 egg whites (198g), milk reduced to 213.5g — 6/7 macros within ±5%. Fiber canonical=0.80g/100g ungraded (≤CANONICAL_FLOOR 1.0g/100g — AOAC measurement uncertainty at this level exceeds the 5% tolerance band). Worst graded: Water +3.4%. Locked May 13 2026.",
SWEET_017,CAKEWHITECOCONUTFROSTING,White Cake with Coconut Frosting,Sweets & Desserts,veggie,dish,18102,30 min,12 slices,12,Rule B,bake,0.58,1.00,,,1.00,approved,98594b80317d5d2e18a16c37e71a50c94645a66f33d47731902282d4351208f0,"Reverse-engineered from canonical NDB 18102; SWEET_016 base cake finished with 7-minute coconut frosting. SugarsTotal canonical (57.39 g/100g) excluded as defective — anomalously high vs any standard boiled meringue recipe. Frosting: 3 egg whites, 1¾ cup sugar, ⅓ cup coconut water, ½ tsp cream of tartar, ¼ tsp salt, 1 tsp coconut extract + ½ tsp vanilla extract, 2 cups sweetened flaked coconut (148g); yfw=0.58.",The nutrient values reflect water loss during baking and frosting reduction. Validated against USDA SR Legacy NDB 18102. SugarsTotal excluded: canonical value is anomalously high and not reproducible from any standard recipe.,PASS,"Rule B PASS. SugarsTotal excluded (defective canonical: NDB 18102 reports 57.39g/100g — unachievable with any standard 7-minute frosting). 5 remaining graded macros all within ±5% of canonical. Max delta: Protein +2.7%. Fiber ungraded (canonical 1.0g ≤ CANONICAL_FLOOR). Cake section yfw=0.62 (explicit, calibrated from USDA AH102 — matches SWEET_016 base). Frosting section yfw=0.50 (empirical — 7-minute double-boiler beating reduces ~50% of frosting moisture; back-calculated from canonical NDB 18102 water content). Locked May 13 2026.",SugarsTotal
SWEET_018,YELLOWCAKE,Yellow Cake (No Frosting),Sweets & Desserts,veggie,dish,18146,25 min,12 slices,12,Rule B,bake,0.78,1.00,,,1.00,approved,c6c2a82e300350149c07e64bb9a4ff836109318544a76143e903571d3a9ed52d,"Authentic homemade yellow cake using a 3:1 blend of all-purpose and cake flour and a butter/shortening combination, which matches canonical NDB 18146 cholesterol while preserving classic flavor. Whole eggs and whole milk for the characteristic yellow crumb.",The nutrient values reflect water loss during baking. The water loss was calculated using published cooking-yield ranges from USDA Agricultural Handbook 102 and validated against USDA SR Legacy NDB 18146 within an average macro discrepancy of 1.8%.,PASS,Rule B PASS. 2 whole eggs + 1 yolk (117g) fixes protein +6.4%→+2.1%. Worst delta water -3.1%; 0 fails. Locked May 13 2026.,
SWEET_019,FROSTING,Chocolate Glaze with Butter,Sweets & Desserts,veggie,dish,19409,10 min,16 tablespoons,16,Rule C,boil,1.00,1.00,,,1.00,approved,b5ec731acd782c762318746dc7fd67c24901d42a5326e2dac005fbbf8a6ee57b,"Classic butter-and-bittersweet-chocolate pour glaze: 8 tbsp unsalted butter (113g) melted with 4 oz semisweet chocolate (113g; bittersweet used in recipe, semisweet proxy in ledger), thinned with ½ lb confectioners sugar (227g), ¼ cup whole milk (61g), 1 tbsp light corn syrup (21g), and 1 tsp vanilla. Canonical NDB 19409 (NFSMI C-32 institutional recipe: cocoa + evaporated milk + boiling water) is structurally incompatible with any butter-and-chocolate-bar-based glaze; Rule C applies.",The nutrient values reflect this glaze prepared from scratch and validated against USDA SR Legacy NDB 19409 (NFSMI Recipe No. C-32) within an average macro discrepancy of 3.0%.,NO_CANON,"Rule C. Classic butter-chocolate glaze (8 tbsp butter, 4 oz bittersweet choc, 1/2 lb conf sugar, 1/4 cup milk, 1 tbsp corn syrup, 1 tsp vanilla). Cannot match NFSMI institutional canonical 19409.",
SWEET_020,CAKEYELLOWCHOCOLATEFROSTING,Yellow Cake with Chocolate Glaze,Sweets & Desserts,veggie,dish,18140,45 min,12 slices,12,Rule C,bake,0.83,1.00,,,1.00,approved,0a9faaa46bcf83453bc2b4eab3eebd7a34d43da0b44314843e5ef33617200267,"Homemade butter-buttermilk yellow layer cake (all-purpose flour, butter, buttermilk, 3 whole eggs + 2 yolks) glazed with classic butter-and-bittersweet-chocolate glaze (8 tbsp butter, 4 oz semisweet chocolate, ½ lb confectioners sugar, ¼ cup whole milk, 1 tbsp light corn syrup, 1 tsp vanilla). Rule C: glaze component does not match canonical NDB 19409 (NFSMI C-32 institutional cocoa-based recipe).","Authentic homemade yellow layer cake with chocolate glaze. NOT validated against USDA SR Legacy NDB 18140 because the canonical entry reflects commercial in-store-bakery production using hydrogenated shortening, reduced-egg formulations, and industrial frosting bases. Proportions aligned to classic homemade two-layer yellow cake references: butter + oil, buttermilk, 3 whole eggs + 2 yolks, and a cocoa powdered-sugar glaze.",NO_CANON,"Rule C. Butter-buttermilk yellow cake with butter-and-bittersweet-chocolate glaze. Cake section: filling_class=cake_batter, 350°F×32min → yfw=0.833 (algorithm). Glaze section: raw pour, yfw=1.0 (default — no baking). No canonical audit applicable (NDB 19409 is NFSMI institutional cocoa-based recipe; structurally incompatible). Locked May 13 2026.",
SWEET_021,GINGERBREAD,Gingerbread,Sweets & Desserts,veggie,dish,18116,15 min,9 servings,9,Rule B,bake,0.88,1.00,,,1.00,approved,da4e4115947301349a7e1618c9c61fddd6045b731aa52be9a26165ed72872b9a,"Authentic homemade gingerbread with a butter/shortening combination that matches canonical NDB 18116 cholesterol exactly. Classic ingredients: AP flour, brown sugar, unsulphured molasses, one whole egg, hot water, baking soda, and warm spices (ginger, cinnamon, cloves). Baked in a 9-inch square pan, 9 squares.",The nutrient values reflect water loss during baking. The water loss was calculated using published cooking-yield ranges from USDA Agricultural Handbook 102 and validated against USDA SR Legacy NDB 18116 within an average macro discrepancy of 2.3%.,PASS,Rule B. All graded macros within ±5% of canonical NDB 18116. Max delta: Water -4.7%. Locked May 14 2026.,
SWEET_022,PINEAPPLECAKE,Pineapple Upside-Down Cake,Sweets & Desserts,veggie,dish,18119,25 min,9 servings,9,Rule B,bake,0.86,1.00,,,1.00,approved,a558c50a1cede5b2bb8a148b4f1379a25bd4178956a20ac55e0d5d5e94291aca,"Authentic homemade pineapple upside-down cake. Topping: butter, brown sugar, juice-pack pineapple slices, maraschino cherries. Cake: AP flour, granulated sugar, vegetable shortening, whole milk, one egg, vanilla. Cholesterol matches canonical NDB 18119. Baked in a 9-inch round cake pan or cast-iron skillet, 9 servings. Note: the optional cinnamon, cloves, and ginger will raise the fiber level above the canonical target (ground spices are very fiber-dense — cinnamon is ~53% fiber by weight, cloves ~33%); validation excludes these optional accents.",The nutrient values reflect water loss during baking. The water loss was calculated using published cooking-yield ranges from USDA Agricultural Handbook 102 and validated against USDA SR Legacy NDB 18119 within an average macro discrepancy of 3.2%.,PASS,"Rule B. All graded macros within ±5% of canonical NDB 18119. Max delta: Protein +4.0%, Water +3.7%. Sugar increased 3/4 cup→3/4 cup+1 tbsp to dilute protein. Optional spices (cinnamon/cloves/ginger) excluded from audit per is_optional. Locked May 14 2026.",
SWEET_023,SHORTCAKE,Shortcake (Biscuit-Type),Sweets & Desserts,veggie,dish,18126,15 min,8 biscuits,8,Rule B,bake,0.85,1.00,,,1.00,approved,ffdb8f7643b56315676c92aa409530b8ba9e5b242394cb7bf92a2ac33b7afa85,"Authentic homemade biscuit-type shortcake. AP flour, granulated sugar, baking powder, salt, vegetable shortening, whole milk. No eggs, no butter — cholesterol matches canonical NDB 18126 (whole milk is the only cholesterol source). Baked at 450°F in 2 1/2-inch rounds, 8 biscuits. Serve split with sweetened berries and whipped cream for classic strawberry shortcake.",The nutrient values reflect water loss during baking. The water loss was calculated using published cooking-yield ranges from USDA Agricultural Handbook 102 and validated against USDA SR Legacy NDB 18126 within an average macro discrepancy of 1.5%.,PASS,Rule B. All graded macros within ±5% of canonical NDB 18126. Max delta: Water +3.1%. Shortening reduced 1/3 cup→5 tablespoons. Locked May 14 2026.,
SWEET_024,SPONGECAKE,Hot-Water Sponge Cake,Sweets & Desserts,veggie,dish,18134,30 min,10 servings,10,Rule B,bake,0.55,1.00,,,1.00,approved,162e20de7913ad8ec22d88e145623eceaa3f0f5677145a2a2f6638cbc86e4ca0,"Authentic homemade hot-water sponge cake (American foam-type sponge). Five whole eggs separated, granulated sugar, cake flour, hot water, lemon juice, vanilla, salt, cream of tartar. No added fat — the yolks supply all the fat. No chemical leavening — whipped egg foam is the only lift. Cholesterol matches canonical NDB 18134 (170 mg/100g — the 5-yolk fingerprint). Baked in an ungreased 10-inch tube pan at 325°F, cooled inverted, 10 servings.",The nutrient values reflect water loss during baking. The water loss was calculated using published cooking-yield ranges from USDA Agricultural Handbook 102 and validated against USDA SR Legacy NDB 18134 within an average macro discrepancy of 3.0%.,PASS,Rule B. All graded macros within ±5% of canonical NDB 18134. Max delta: Water -4.4%. Sugar increased 1 cup→1 cup+2 tablespoons to dilute protein/fat. Locked May 14 2026.,
SWEET_025,ANGELFOODCAKE,Angel Food Cake,Sweets & Desserts,veggie,dish,18086,30 min,12 servings,12,Rule C,bake,0.55,1.00,,,1.00,approved,601428b19601bcde542e4170a042ae959cca16148d341dfc2a9aaff18daf633e,"Authentic homemade angel food cake. Twelve large egg whites, granulated sugar, cake flour, cream of tartar, salt, vanilla, and lemon juice. NOT validated against USDA SR Legacy NDB 18086 because that canonical entry reflects commercially prepared cake with industrial sodium-based preservatives, gums, and stabilizers (sodium 749 mg/100g vs ~165 mg/100g for the authentic recipe). Zero cholesterol, no added fat — leavened entirely by whipped egg whites. Baked in an ungreased 10-inch tube pan at 350°F, cooled inverted, 12 servings.","Authentic homemade angel food cake. NOT validated against USDA SR Legacy NDB 18086 because the canonical entry reflects commercially prepared cake with industrial sodium-based preservatives, gums, and stabilizers (sodium 749 mg/100g vs ~189 mg/100g for the authentic from-scratch recipe). Built entirely from USDA single-NDB ingredients (egg whites, sugar, cake flour, cream of tartar, salt, vanilla, lemon juice) with no composite components.",NO_CANON,Rule C. No comparable USDA SR Legacy canonical for homemade recipe. Macro audit skipped. Locked May 14 2026.,
